SALE.TYPE,SOLD.DATE,PROPERTY.TYPE,PRICE,BEDS,BATHS,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,HOA.MONTH,STATUS,NEXT.OPEN.HOUSE.START.TIME,NEXT.OPEN.HOUSE.END.TIME,URL,SOURCE,MLS.,FAVORITE,INTERESTED,LIST.DATE
PAST SALE,September-5-2017,propertytype:Single Family Residential,USD875000,4,3.0,1731,8803,1948,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/3638-Vacation-Ln-22207/home/11233037,MRIS,AR10002196,N,Y,"Wednesday- Aug 09, 2017"
PAST SALE,,propertytype:Townhouse,USD585000,2,1.5,1040,2817,1953,NA,,NA,NA,http://www.redfin.com/VA/Arlington/6943-N-Four-Mile-Run-Dr-22213/home/11226226,,,N,Y,NA
PAST SALE,September-6-2017,propertytype:Single Family Residential,USD635000,3,2.0,1716,6250,1941,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/4700-2nd-St-N-22203/home/11243761,MRIS,AR10021458,N,Y,"Friday- Aug 11, 2017"
PAST SALE,September-5-2017,propertytype:Single Family Residential,USD625000,3,1.0,1092,7246,1951,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2628-N-Sycamore-St-22207/home/11225365,MRIS,AR10012202,N,Y,"Wednesday- Aug 09, 2017"
PAST SALE,September-13-2017,propertytype:Single Family Residential,USD902000,4,3.0,1760,5750,1925,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/614-19th-St-S-22202/home/11275981,MRIS,AR10023379,N,Y,"Friday- Aug 25, 2017"
PAST SALE,September-12-2017,propertytype:Single Family Residential,USD1456500,5,4.0,1745,14562,1950,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/900-N-Harrison-St-22205/home/11241947,MRIS,AR10054677,N,Y,"Wednesday- Aug 23, 2017"
PAST SALE,September-7-2017,propertytype:Townhouse,USD745000,4,2.5,1988,1636,1969,67,Sold,NA,NA,http://www.redfin.com/VA/Arlington/4716-20th-Pl-N-22207/home/11234692,MRIS,AR9942121,N,Y,"Sunday- Aug 13, 2017"
PAST SALE,September-6-2017,propertytype:Single Family Residential,USD785000,3,3.0,2231,10032,1948,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2445-N-Taylor-St-22207/home/11232411,MRIS,AR10035482,N,Y,"Friday- Aug 11, 2017"
PAST SALE,September-19-2017,propertytype:Single Family Residential,USD855000,3,3.0,2680,11244,1961,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/4906-36th-St-N-22207/home/11229081,MRIS,AR9996572,N,Y,"Wednesday- Sep 06, 2017"
PAST SALE,September-14-2017,propertytype:Single Family Residential,USD850000,4,3.0,2223,6002,1940,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/625-N-Emerson-St-22203/home/11242489,MRIS,AR10032931,N,Y,"Sunday- Aug 27, 2017"
PAST SALE,September-8-2017,propertytype:Single Family Residential,USD1680000,5,4.5,6052,10001,2016,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2830-N-Trinidad-St-22213/home/11224984,MRIS,AR9848603,N,Y,"Tuesday- Aug 15, 2017"
PAST SALE,September-14-2017,propertytype:Single Family Residential,USD1450000,5,4.5,4393,6585,2008,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/1159-N-Ivanhoe-St-22205/home/16898018,MRIS,AR9996514,N,Y,"Sunday- Aug 27, 2017"
PAST SALE,September-15-2017,propertytype:Single Family Residential,USD1525000,5,5.5,7318,12220,2007,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/4400-35th-St-N-22207/home/11229740,MRIS,AR9923141,N,Y,"Tuesday- Aug 29, 2017"
PAST SALE,,propertytype:Single Family Residential,USD790000,3,3.0,1664,10062,1962,NA,,NA,NA,http://www.redfin.com/VA/Arlington/2642-Robert-Walker-Pl-22207/home/11232472,,,N,Y,NA
PAST SALE,September-21-2017,propertytype:Single Family Residential,USD880000,4,3.0,2712,5524,1945,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/1075-N-Montana-St-22205/home/11240623,MRIS,AR10028303,N,Y,"Sunday- Sep 10, 2017"
PAST SALE,September-15-2017,propertytype:Single Family Residential,USD885000,4,3.0,2728,18509,1960,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/3831-36th-Rd-N-22207/home/11230757,MRIS,AR10025765,N,Y,"Tuesday- Aug 29, 2017"
PAST SALE,September-20-2017,propertytype:Single Family Residential,USD833000,3,2.5,1125,6000,1950,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/1000-N-Powhatan-St-22205/home/11240393,MRIS,AR10016974,N,Y,"Friday- Sep 08, 2017"
PAST SALE,September-29-2017,propertytype:Condo/Co-op,USD2395000,3,3.5,2370,NA,2008,1896,Sold,NA,NA,http://www.redfin.com/VA/Arlington/1111-19th-St-N-22209/unit-3003/home/16898049,MRIS,AR10069458,N,Y,"Tuesday- Sep 26, 2017"
PAST SALE,September-29-2017,propertytype:Single Family Residential,USD673250,3,2.0,1050,6050,1941,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/240-N-Greenbrier-St-22203/home/11243428,MRIS,AR10047408,N,Y,"Tuesday- Sep 26, 2017"
PAST SALE,September-28-2017,propertytype:Single Family Residential,USD1125000,4,3.0,3098,8656,1936,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/3521-3rd-St-N-22201/home/11256762,MRIS,AR10039402,N,Y,"Sunday- Sep 24, 2017"
PAST SALE,September-22-2017,propertytype:Single Family Residential,USD2900000,7,8.5,8364,13151,2017,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/4024-N-Stuart-St-22207/home/9415781,MRIS,FX9953277,N,Y,"Tuesday- Sep 12, 2017"
PAST SALE,September-22-2017,propertytype:Single Family Residential,USD1900000,6,6.5,6492,12457,2017,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2428-N-Potomac-St-22207/home/11225956,MRIS,AR9858595,N,Y,"Tuesday- Sep 12, 2017"
PAST SALE,September-8-2017,propertytype:Single Family Residential,USD1412000,5,4.5,4501,6600,2017,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/646-N-Florida-St-22205/home/11242554,MRIS,AR9898063,N,Y,"Tuesday- Aug 15, 2017"
PAST SALE,September-16-2017,propertytype:Single Family Residential,USD1350000,4,2.0,1712,8907,1913,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/1506-N-Garfield-St-22201/home/11248217,MRIS,AR10059141,N,Y,"Thursday- Aug 31, 2017"
PAST SALE,September-22-2017,propertytype:Single Family Residential,USD1085000,4,4.0,2868,12417,1956,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/3620-N-Piedmont-St-22207/home/11230655,MRIS,AR10027964,N,Y,"Tuesday- Sep 12, 2017"
PAST SALE,,propertytype:Single Family Residential,USD865000,NA,3.0,2050,14459,1951,NA,,NA,NA,http://www.redfin.com/VA/Arlington/4351-26th-St-N-22207/home/11229824,,,N,Y,NA
PAST SALE,September-25-2017,propertytype:Single Family Residential,USD900000,4,2.5,2800,8000,1985,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2320-N-Vermont-St-22207/home/11232674,MRIS,AR10022754,N,Y,"Monday- Sep 18, 2017"
PAST SALE,September-27-2017,propertytype:Single Family Residential,USD815000,4,2.0,1704,6192,1947,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2317-N-Edison-St-22207/home/11235994,MRIS,AR10013802,N,Y,"Friday- Sep 22, 2017"
PAST SALE,September-27-2017,propertytype:Single Family Residential,USD1099000,4,3.0,2437,10000,1966,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/4786-Williamsburg-Blvd-22207/home/11229112,MRIS,AR9994836,N,Y,"Friday- Sep 22, 2017"
PAST SALE,September-28-2017,propertytype:Townhouse,USD619900,3,2.5,1250,3505,1960,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/4800-21st-St-N-22207/home/11234545,MRIS,AR10044413,N,Y,"Sunday- Sep 24, 2017"
PAST SALE,September-21-2017,propertytype:Townhouse,USD893000,3,2.5,3044,1133,2004,150,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2066-N-Oakland-St-22207/home/11279131,MRIS,AR10021038,N,Y,"Sunday- Sep 10, 2017"
PAST SALE,September-5-2017,propertytype:Single Family Residential,USD575000,3,1.5,1472,2320,1930,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/3011-13th-St-S-22204/home/11273776,MRIS,AR10048686,N,Y,"Wednesday- Aug 09, 2017"
PAST SALE,September-22-2017,propertytype:Single Family Residential,USD565000,3,1.0,1152,6783,1947,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2221-S-Dinwiddie-St-22206/home/11265800,MRIS,AR10034137,N,Y,"Tuesday- Sep 12, 2017"
PAST SALE,September-7-2017,propertytype:Townhouse,USD569500,3,3.0,1892,1320,1989,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/744-S-Granada-St-22204/home/11259626,MRIS,AR9990336,N,Y,"Sunday- Aug 13, 2017"
PAST SALE,September-6-2017,propertytype:Townhouse,USD659500,3,3.5,2169,771,1999,100,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2412-N-Greenbrier-Ct-22207/home/11228077,MRIS,AR10016156,N,Y,"Friday- Aug 11, 2017"
PAST SALE,September-21-2017,propertytype:Single Family Residential,USD784000,5,4.5,3100,6108,2017,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2509-S-Kenwood-St-22206/home/11272264,MRIS,AR10023362,N,Y,"Sunday- Sep 10, 2017"
PAST SALE,September-14-2017,propertytype:Single Family Residential,USD602800,3,1.5,1275,8916,1948,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/1313-S-Quincy-St-22204/home/11263698,MRIS,AR10002558,N,Y,"Sunday- Aug 27, 2017"
PAST SALE,September-11-2017,propertytype:Single Family Residential,USD397000,4,3.0,1020,5000,1942,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/1904-S-Randolph-St-22204/home/11264387,MRIS,AR10035248,N,Y,"Monday- Aug 21, 2017"
PAST SALE,September-12-2017,propertytype:Townhouse,USD824000,3,3.5,1956,1002,1993,50,Sold,NA,NA,http://www.redfin.com/VA/Arlington/1967-N-Adams-St-22201/home/11246892,MRIS,AR9971912,N,Y,"Wednesday- Aug 23, 2017"
PAST SALE,September-7-2017,propertytype:Single Family Residential,USD665000,4,2.0,1326,10024,1947,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2416-S-Culpeper-St-22206/home/11265914,MRIS,AR10016546,N,Y,"Sunday- Aug 13, 2017"
PAST SALE,September-12-2017,propertytype:Single Family Residential,USD1000000,4,3.5,4137,9676,1941,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/4901-11th-St-N-22205/home/11235927,MRIS,AR9993414,N,Y,"Wednesday- Aug 23, 2017"
PAST SALE,September-8-2017,propertytype:Single Family Residential,USD1412000,5,4.5,4845,6075,2017,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/908-N-Lexington-St-22205/home/11241807,MRIS,AR9901355,N,Y,"Tuesday- Aug 15, 2017"
