"date","close","volume"
"January 21, 2015",109.55,48482860
"January 20, 2015",108.72,49742320
"January 16, 2015",105.99,78453330
"January 15, 2015",106.82,59808470
"January 14, 2015",109.8,48728190
"January 13, 2015",110.22,66969980
"January 12, 2015",109.25,49571170
"January 09, 2015",112.01,53645730
"January 08, 2015",111.89,59168760
"January 07, 2015",107.75,39983350
"January 06, 2015",106.26,65682250
"January 05, 2015",106.25,64210880
"January 02, 2015",109.33,53143770
"December 31, 2014",110.38,41304780
"December 30, 2014",112.52,29798660
"December 29, 2014",113.91,27533430
"December 26, 2014",113.99,33681200
"December 24, 2014",112.01,14479610
"December 23, 2014",112.54,25991030
"December 22, 2014",112.94,45097060
"December 19, 2014",111.78,86595830
"December 18, 2014",112.65,58785590
"December 17, 2014",109.41,53265930
"December 16, 2014",106.745,60651790
"December 15, 2014",108.225,67083260
"December 12, 2014",109.73,55873820
"December 11, 2014",111.62,41404690
"December 10, 2014",111.95,44475360
"December 09, 2014",114.12,60112240
"December 08, 2014",112.4,57445030
"December 05, 2014",115,38230970
"December 04, 2014",115.49,42068020
"December 03, 2014",115.93,42956200
"December 02, 2014",114.63,59205320
"December 01, 2014",115.07,83657780
"November 28, 2014",118.93,24814400
"November 26, 2014",119,40756950
"November 25, 2014",117.6,68719930
"November 24, 2014",118.625,46867340
"November 21, 2014",116.47,56759320
"November 20, 2014",116.31,43148650
"November 19, 2014",114.67,41815550
"November 18, 2014",115.47,44163250
"November 17, 2014",113.99,46687710
"November 14, 2014",114.18,43789060
"November 13, 2014",112.82,59418180
"November 12, 2014",111.25,46372630
"November 11, 2014",109.7,27330410
"November 10, 2014",108.83,27066060
"November 07, 2014",109.01,33655280
"November 06, 2014",108.7,34733740
"November 05, 2014",108.86,37365530
"November 04, 2014",108.6,41423660
"November 03, 2014",109.4,52154490
"October 31, 2014",108,44550790
"October 30, 2014",106.98,40572000
"October 29, 2014",107.34,52545580
"October 28, 2014",106.74,47689070
"October 27, 2014",105.11,34086120
"October 24, 2014",105.22,46937880
"October 23, 2014",104.83,70760150
"October 22, 2014",102.99,68140010
"October 21, 2014",102.47,93786680
"October 20, 2014",99.76,75705040
"October 17, 2014",97.67,67723910
"October 16, 2014",96.26,72017830
"October 15, 2014",97.54,99942790
"October 14, 2014",98.75,63287170
"October 13, 2014",99.81,53437060
"October 10, 2014",100.73,66249770
"October 09, 2014",101.02,77283330
"October 08, 2014",100.8,57329820
"October 07, 2014",98.75,42003200
"October 06, 2014",99.62,36780620
"October 03, 2014",99.62,43419580
"October 02, 2014",99.9,47697150
"October 01, 2014",99.18,51400260
"September 30, 2014",100.75,55119980
"September 29, 2014",100.11,49263260
"September 26, 2014",100.75,62276770
"September 25, 2014",97.87,99689300
"September 24, 2014",101.75,59974260
"September 23, 2014",102.64,63255860
"September 22, 2014",101.06,52421660
"September 19, 2014",100.96,70747430
"September 18, 2014",101.79,36971170
"September 17, 2014",101.58,60783090
"September 16, 2014",100.86,66754370
"September 15, 2014",101.63,61169670
"September 12, 2014",101.66,62826040
"September 11, 2014",101.43,62077230
"September 10, 2014",101,100352500
"September 09, 2014",97.99,189419500
"September 08, 2014",98.36,46176570
"September 05, 2014",98.97,58280030
"September 04, 2014",98.12,85537710
"September 03, 2014",98.94,125000400
"September 02, 2014",103.3,53227770
"August 29, 2014",102.5,44516120
"August 28, 2014",102.25,68368740
"August 27, 2014",102.13,46807000
"August 26, 2014",100.889,33079170
"August 25, 2014",101.54,40087220
"August 22, 2014",101.32,44028280
"August 21, 2014",100.58,33377530
"August 20, 2014",100.57,52565000
"August 19, 2014",100.53,69189840
"August 18, 2014",99.16,47285630
"August 15, 2014",97.98,48938120
"August 14, 2014",97.5,28056530
"August 13, 2014",97.24,31866630
"August 12, 2014",95.97,33485870
"August 11, 2014",95.99,36459430
"August 08, 2014",94.74,41783300
"August 07, 2014",94.48,46553350
"August 06, 2014",94.96,38463700
"August 05, 2014",95.12,55861030
"August 04, 2014",95.59,39860740
"August 01, 2014",96.13,48379730
"July 31, 2014",95.6,56625420
"July 30, 2014",98.15,32978480
"July 29, 2014",98.38,42957960
"July 28, 2014",99.02,54926940
"July 25, 2014",97.671,43384590
"July 24, 2014",97.03,45609040
"July 23, 2014",97.19,90937230
"July 22, 2014",94.72,54297530
"July 21, 2014",93.939,38792960
"July 18, 2014",94.43,49838110
"July 17, 2014",93.0899,57111160
"July 16, 2014",94.78,53323940
"July 15, 2014",95.32,45187420
"July 14, 2014",96.45,42643760
"July 11, 2014",95.22,33960300
"July 10, 2014",95.035,39633800
"July 09, 2014",95.39,36267350
"July 08, 2014",95.35,65111960
"July 07, 2014",95.968,54809030
"July 03, 2014",94.03,22891750
"July 02, 2014",93.48,28414310
"July 01, 2014",93.52,38156280
"June 30, 2014",92.93,49474230
"June 27, 2014",91.98,61758200
"June 26, 2014",90.9,32528680
"June 25, 2014",90.36,36835900
"June 24, 2014",90.28,38977670
"June 23, 2014",90.83,43611710
"June 20, 2014",90.91,100478600
"June 19, 2014",91.86,35476080
"June 18, 2014",92.18,33314720
"June 17, 2014",92.08,29684620
"June 16, 2014",92.2,35371460
"June 13, 2014",91.28,54406640
"June 12, 2014",92.29,54628650
"June 11, 2014",93.86,45528740
"June 10, 2014",94.25,62563070
"June 09, 2014",93.7,75295450
"June 06, 2014",92.2243,87403076
"June 05, 2014",92.4785,75796583
"June 04, 2014",92.1171,83735285
"June 03, 2014",91.0771,73043412
"June 02, 2014",89.8071,92179668
"May 30, 2014",90.4285,140860202
"May 29, 2014",90.7685,93737728
"May 28, 2014",89.1443,78793704
"May 27, 2014",89.3757,86840486
"May 23, 2014",87.7328,57918367
"May 22, 2014",86.7528,50142667
"May 21, 2014",86.6157,49184983
"May 20, 2014",86.3871,58232373
"May 19, 2014",86.37,78819884
"May 16, 2014",85.3585,68960136
"May 15, 2014",84.1171,57427744
"May 14, 2014",84.8385,41505203
"May 13, 2014",84.8228,39854512
"May 12, 2014",84.69,53184042
"May 09, 2014",83.6489,72767192
"May 08, 2014",83.9985,57243511
"May 07, 2014",84.6185,70532231
"May 06, 2014",84.9157,93468228
"May 05, 2014",85.8514,71523851
"May 02, 2014",84.6543,47673150
"May 01, 2014",84.4971,60958860
"April 30, 2014",84.2985,114029614
"April 29, 2014",84.6185,84049445
"April 28, 2014",84.87,167001640
"April 25, 2014",81.7057,97435199
"April 24, 2014",81.11,189588407
"April 23, 2014",74.9643,93473618
"April 22, 2014",75.957,50607747
"April 21, 2014",75.8814,45546494
"April 17, 2014",74.9914,70978621
"April 16, 2014",74.1443,52515794
"April 15, 2014",73.9942,66461884
"April 14, 2014",74.5257,51252748
"April 11, 2014",74.23,67920698
"April 10, 2014",74.7828,59701814
"April 09, 2014",75.76,51357706
"April 08, 2014",74.7771,60880929
"April 07, 2014",74.7814,72146992
"April 04, 2014",75.9743,68615246
"April 03, 2014",76.97,40472773
"April 02, 2014",77.5071,44803807
"April 01, 2014",77.3785,50069657
"March 31, 2014",76.6771,41787976
"March 28, 2014",76.6943,49703046
"March 27, 2014",76.78,55330425
"March 26, 2014",77.1114,74394902
"March 25, 2014",77.8557,70284361
"March 24, 2014",77.0271,88674487
"March 21, 2014",76.1243,93431688
