"date","Stock","Close"
2012-07-02,"BND",84.37
2012-06-29,"BND",84.38
2012-06-28,"BND",84.44
2012-06-27,"BND",84.35
2012-06-26,"BND",84.26
2012-06-25,"BND",84.35
2012-06-22,"BND",84.13
2012-06-21,"BND",84.3
2012-06-20,"BND",84.16
2012-06-19,"BND",84.32
2012-06-18,"BND",84.43
2012-06-15,"BND",84.42
2012-06-14,"BND",84.23
2012-06-13,"BND",84.28
2012-06-12,"BND",84.1
2012-06-11,"BND",84.23
2012-06-08,"BND",84.16
2012-06-07,"BND",84.11
2012-06-06,"BND",84.08
2012-06-05,"BND",84.24
2012-06-04,"BND",84.41
2012-06-01,"BND",84.62
2012-05-31,"BND",84.51
2012-05-30,"BND",84.35
2012-05-29,"BND",84.03
2012-05-25,"BND",84.03
2012-05-24,"BND",83.93
2012-05-23,"BND",84.02
2012-05-22,"BND",83.96
2012-05-21,"BND",84.1
2012-05-18,"BND",84.09
2012-05-17,"BND",84.14
2012-05-16,"BND",84.07
2012-05-15,"BND",84.12
2012-05-14,"BND",84.1
2012-05-11,"BND",83.95
2012-05-10,"BND",83.89
2012-05-09,"BND",83.94
2012-05-08,"BND",83.99
2012-05-07,"BND",83.91
2012-05-04,"BND",83.94
2012-05-03,"BND",83.85
2012-05-02,"BND",83.74
2012-05-01,"BND",83.6089
2012-04-30,"BND",83.92
2012-04-27,"BND",83.87
2012-04-26,"BND",83.82
2012-04-25,"BND",83.71
2012-04-24,"BND",83.73
2012-04-23,"BND",83.83
2012-04-20,"BND",83.73
2012-04-19,"BND",83.74
2012-04-18,"BND",83.76
2012-04-17,"BND",83.7
2012-04-16,"BND",83.71
2012-04-13,"BND",83.71
2012-04-12,"BND",83.5
2012-04-11,"BND",83.49
2012-04-10,"BND",83.61
2012-04-09,"BND",83.37
2012-04-05,"BND",83.08
2012-04-04,"BND",82.92
2012-04-03,"BND",82.69
2012-04-02,"BND",83
2012-03-30,"BND",83.28
2012-03-29,"BND",83.45
2012-03-28,"BND",83.27
2012-03-27,"BND",83.29
2012-03-26,"BND",83.15
2012-03-23,"BND",83.16
2012-03-22,"BND",83.01
2012-03-21,"BND",82.89
2012-03-20,"BND",82.65
2012-03-19,"BND",82.63
2012-03-16,"BND",82.85
2012-03-15,"BND",82.86
2012-03-14,"BND",82.84
2012-03-13,"BND",83.33
2012-03-12,"BND",83.58
2012-03-09,"BND",83.52
2012-03-08,"BND",83.6
2012-03-07,"BND",83.73
2012-03-06,"BND",83.71
2012-03-05,"BND",83.57
2012-03-02,"BND",83.74
2012-03-01,"BND",83.57
2012-02-29,"BND",83.9
2012-02-28,"BND",83.98
2012-02-27,"BND",83.99
2012-02-24,"BND",83.84
2012-02-23,"BND",83.78
2012-02-22,"BND",83.74
2012-02-21,"BND",83.46
2012-02-17,"BND",83.51
2012-02-16,"BND",83.7
2012-02-15,"BND",83.69
2012-02-14,"BND",83.8
2012-02-13,"BND",83.69
2012-02-10,"BND",83.695
2012-02-09,"BND",83.64
2012-02-08,"BND",83.63
2012-02-07,"BND",83.73
2012-02-06,"BND",83.84
2012-02-03,"BND",83.8
2012-02-02,"BND",83.91
2012-02-01,"BND",83.78
2012-01-31,"BND",84.07
2012-01-30,"BND",84
2012-01-27,"BND",83.9
2012-01-26,"BND",83.75
2012-01-25,"BND",83.53
2012-01-24,"BND",83.29
2012-01-23,"BND",83.27
2012-01-20,"BND",83.37
2012-01-19,"BND",83.53
2012-01-18,"BND",83.61
2012-01-17,"BND",83.63
2012-01-13,"BND",83.7
2012-01-12,"BND",83.45
2012-01-11,"BND",83.57
2012-01-10,"BND",83.37
2012-01-09,"BND",83.41
2012-01-06,"BND",83.34
2012-01-05,"BND",83.29
2012-01-04,"BND",83.32
2012-01-03,"BND",83.28
2011-12-30,"BND",83.54
2011-12-29,"BND",83.48
2011-12-28,"BND",83.41
2011-12-27,"BND",83.09
2011-12-23,"BND",83.29
2011-12-22,"BND",83.78
2011-12-21,"BND",83.62
2011-12-20,"BND",83.85
2011-12-19,"BND",84.02
2011-12-16,"BND",84.05
2011-12-15,"BND",83.82
2011-12-14,"BND",83.86
2011-12-13,"BND",83.7
2011-12-12,"BND",83.49
2011-12-09,"BND",83.4
2011-12-08,"BND",83.6
2011-12-07,"BND",83.41
2011-12-06,"BND",83.3
2011-12-05,"BND",83.41
2011-12-02,"BND",83.4
2011-12-01,"BND",83.13
2011-11-30,"BND",83.36
2011-11-29,"BND",83.54
2011-11-28,"BND",83.66
2011-11-25,"BND",83.662
2011-11-23,"BND",83.78
2011-11-22,"BND",83.69
2011-11-21,"BND",83.6
2011-11-18,"BND",83.62
2011-11-17,"BND",83.67
2011-11-16,"BND",83.71
2011-11-15,"BND",83.55
2011-11-14,"BND",83.596
2011-11-11,"BND",83.59
2011-11-10,"BND",83.65
2011-11-09,"BND",83.75
2011-11-08,"BND",83.65
2011-11-07,"BND",83.91
2011-11-04,"BND",83.89
2011-11-03,"BND",83.77
2011-11-02,"BND",83.98
2011-11-01,"BND",84.03
2011-10-31,"BND",83.62
2011-10-28,"BND",83.25
2011-10-27,"BND",82.95
2011-10-26,"BND",83.38
2011-10-25,"BND",83.59
2011-10-24,"BND",83.16
2011-10-21,"BND",83.1
2011-10-20,"BND",83.23
2011-10-19,"BND",83.27
2011-10-18,"BND",83.05
2011-10-17,"BND",83.14
2011-10-14,"BND",82.85
2011-10-13,"BND",83
2011-10-12,"BND",82.9
2011-10-11,"BND",82.92
2011-10-10,"BND",82.96
2011-10-07,"BND",83.08
2011-10-06,"BND",83.26
2011-10-05,"BND",83.31
2011-10-04,"BND",83.67
2011-10-03,"BND",84
2011-09-30,"BND",83.74
2011-09-29,"BND",83.43
2011-09-28,"BND",83.44
2011-09-27,"BND",83.62
2011-09-26,"BND",83.79
2011-09-23,"BND",84.05
2011-09-22,"BND",84.33
2011-09-21,"BND",84.13
2011-09-20,"BND",83.9
2011-09-19,"BND",83.79
2011-09-16,"BND",83.53
2011-09-15,"BND",83.56
2011-09-14,"BND",83.72
2011-09-13,"BND",83.54
2011-09-12,"BND",83.63
2011-09-09,"BND",83.88
2011-09-08,"BND",83.81
2011-09-07,"BND",83.7
2011-09-06,"BND",83.89
2011-09-02,"BND",83.77
2011-09-01,"BND",83.54
2011-08-31,"BND",83.4
2011-08-30,"BND",83.51
2011-08-29,"BND",83.2
2011-08-26,"BND",83.4
2011-08-25,"BND",83.3
2011-08-24,"BND",83.07
2011-08-23,"BND",83.55
2011-08-22,"BND",83.8
2011-08-19,"BND",83.99
2011-08-18,"BND",83.91
2011-08-17,"BND",83.7266
2011-08-16,"BND",83.58
2011-08-15,"BND",83.33
2011-08-12,"BND",83.47
2011-08-11,"BND",83.2
2011-08-10,"BND",84.01
2011-08-09,"BND",83.35
2011-08-08,"BND",83.06
2011-08-05,"BND",82.67
2011-08-04,"BND",83.21
2011-08-03,"BND",82.71
2011-08-02,"BND",82.65
2011-08-01,"BND",82.3
2011-07-29,"BND",82.26
2011-07-28,"BND",81.84
2011-07-27,"BND",81.6
2011-07-26,"BND",81.77
2011-07-25,"BND",81.57
2011-07-22,"BND",81.84
2011-07-21,"BND",81.62
2011-07-20,"BND",81.8
2011-07-19,"BND",81.93
2011-07-18,"BND",81.71
2011-07-15,"BND",81.82
2011-07-14,"BND",81.67
2011-07-13,"BND",81.98
2011-07-12,"BND",81.87
2011-07-11,"BND",81.79
2011-07-08,"BND",81.55
2011-07-07,"BND",81.13
2011-07-06,"BND",81.3
2011-07-05,"BND",81.25
2011-07-01,"BND",80.98
2011-06-30,"BND",81.16
2011-06-29,"BND",81.33
2011-06-28,"BND",81.51
2011-06-27,"BND",81.81
2011-06-24,"BND",82.05
2011-06-23,"BND",81.97
2011-06-22,"BND",81.77
2011-06-21,"BND",81.75
2011-06-20,"BND",81.73
2011-06-17,"BND",81.83
2011-06-16,"BND",81.75
2011-06-15,"BND",81.7
2011-06-14,"BND",81.37
2011-06-13,"BND",81.71
2011-06-10,"BND",81.79
2011-06-09,"BND",81.69
2011-06-08,"BND",81.88
2011-06-07,"BND",81.72
2011-06-06,"BND",81.62
2011-06-03,"BND",81.67
2011-06-02,"BND",81.53
2011-06-01,"BND",81.86
2011-05-31,"BND",81.69
2011-05-27,"BND",81.59
2011-05-26,"BND",81.56
2011-05-25,"BND",81.45
2011-05-24,"BND",81.42
2011-05-23,"BND",81.37
2011-05-20,"BND",81.32
2011-05-19,"BND",81.25
2011-05-18,"BND",81.28
2011-05-17,"BND",81.51
2011-05-16,"BND",81.38
2011-05-13,"BND",81.19
2011-05-12,"BND",81.071
2011-05-11,"BND",81.15
2011-05-10,"BND",81.05
2011-05-09,"BND",81.26
2011-05-06,"BND",81.19
2011-05-05,"BND",81.13
2011-05-04,"BND",80.95
2011-05-03,"BND",80.85
2011-05-02,"BND",80.76
2011-04-29,"BND",80.96
2011-04-28,"BND",80.85
2011-04-27,"BND",80.7
2011-04-26,"BND",80.74
2011-04-25,"BND",80.49
2011-04-21,"BND",80.44
2011-04-20,"BND",80.38
2011-04-19,"BND",80.49
2011-04-18,"BND",80.36
2011-04-15,"BND",80.27
2011-04-14,"BND",80.02
