SALE.TYPE,SOLD.DATE,PROPERTY.TYPE,PRICE,BEDS,BATHS,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,HOA.MONTH,STATUS,NEXT.OPEN.HOUSE.START.TIME,NEXT.OPEN.HOUSE.END.TIME,URL,SOURCE,MLS.,FAVORITE,INTERESTED,LIST.DATE
PAST SALE,,propertytype:Single Family Residential,USD807729,NA,NA,NA,4200,NA,NA,,NA,NA,http://www.redfin.com/MD/Fulton/11521-Green-St-20759/home/108438166,,,N,Y,NA
PAST SALE,,propertytype:Townhouse,USD315000,NA,NA,510,2876,1953,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/9872-Hollow-Glen-Pl-20910/unit-2524B/home/11097183,,,N,Y,NA
PAST SALE,,propertytype:Single Family Residential,USD450000,NA,2.5,1777,10800,1949,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/1707-Sherwood-Rd-20902/home/10987115,,,N,Y,NA
PAST SALE,,propertytype:Single Family Residential,USD335000,NA,2.0,1084,7500,1957,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/1301-Caddington-Ave-20901/home/11055981,,,N,Y,NA
PAST SALE,,propertytype:Condo/Co-op,USD151000,NA,NA,1290,NA,1975,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/8830-Piney-Branch-Rd-20903/unit-1107/home/11102391,,,N,Y,NA
PAST SALE,,propertytype:Single Family Residential,USD659000,NA,2.5,1467,12000,1941,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/1814-Sherwood-Rd-20902/home/10986908,,,N,Y,NA
PAST SALE,,propertytype:Single Family Residential,USD539500,NA,3.0,2437,16730,1956,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/1109-W-Nolcrest-Dr-20903/home/10562456,,,N,Y,NA
PAST SALE,,propertytype:Single Family Residential,USD455000,NA,3.0,2354,10216,1957,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/424-Neale-Ave-20901/home/10562903,,,N,Y,NA
PAST SALE,,propertytype:Single Family Residential,USD445100,NA,2.5,1340,9000,1962,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/109-Claybrook-Dr-20902/home/11048597,,,N,Y,NA
PAST SALE,September-8-2017,propertytype:Single Family Residential,USD427000,5,3.5,2557,9483,1956,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/301-Burnt-Mills-Ave-20901/home/10562924,MRIS,MC9956859,N,Y,"Tuesday- Aug 15, 2017"
